"Timestamp","When did you start watching itswill?","How did you discover itswill?","How often do you watch itswill YouTube videos?","Are you subscribed to itswill on YouTube?","How often do you watch itswill?","How would you rate your overall experience watching itswill? ","Are you subscribed to itswill on Twitch?","Are you now or have you ever been banned in the itswill Livestream?","What do you primarily watch itswill for?","What's your favorite type of stream?","What types of itswill videos do you typically watch?","What is your favorite day-specific stream archetype?","What was your favorite itswill Special Edition Livestream?","What are your 3 favorite variety games/genres?","What is your favorite variety stream of all time?","What stream content would you most like to see come to life?","How do you typically discover the stream has started?","Do you have any Twitch extensions installed?","How much do you chat?","Has the itswill Livestream been a positive force in your life?","Are you a member of the itswill Discord server?","How many hours do you spend on Twitch per day? (average)","Other than itswill, how many streamers do you consistently watch?","How do you watch Twitch?","Which RuneScape games do you play?","Do you play Old School RuneScape?","What is your current age?","Are you right or left handed?","Do you identify as LGBTQ+?","What is your gender identity?","What is your sexuality?","What is your current relationship status?","What country are you from?","What country do you currently live in?","Do you have a driver's license?","Highest education level?","What is your current employment status?","What sports do you watch?","What sports do you play?","What types of games do you play?","What hobbies do you enjoy?","What's your favorite movie?","Have you read a book in the last 5 years?","Do you have a pet?","Type of subscription?","Was your subscription gifted?","How often do you interact with the itswill Discord?","What is your current total level in OSRS?","What game mode do you spend most of your time playing?","How many OSRS accounts do you have?","Have you ever gotten a fire cape?","Have you ever gotten an infernal cape?","What is your favorite skill in OSRS?","What is your least favorite skill in OSRS?","What OSRS content do you enjoy?","How do you feel about Sailing?","What state do you live in?","Do you work part or full time?","What's your field of work? ","Which kind of pets do you have?","Who would you like to see itswill collaborate with? (optional) ","What games would you like to see itswill play? (optional) ","What's your favorite emote? (optional) ","Who's your favorite chatter? (optional) ","When should the 15 minute buffer start?","Who's your favorite mod? (optional) ","Do you have any recommendations for overlay features? (optional)","Is hot chocolate a candy?","Is ""cock and balls"" redundant? Are the balls included in the definition of cock?","Have you ever worn pajama pants outside your house?","Have you ever cheated on a test?","Have you ever stolen something from the supermarket?","Do you think aliens exist?","Do you think ghosts exist?","Are you a furry?","How tall are you?","What's your number? Be honest."
"2025/04/18 9:39:24 PM EST","Before 2019","Twitch recommendation","Every video","Yes","Every stream","5","Yes","No","Variety","Variety","Stream vods;Main channel videos","Scary Saturday","Christmas Late Night Special 2024","Horror (Poop Killer, itch.io horror);Soulslikes (Elden Ring, maybe Dark Souls eventually copeggy);Pokemon (Romhacks, nuzlockes)","anything not involving minecraft and squeex that dudes a creep","Mariachi Band","I show up at 5pm PST","BetterTTV;7TV;FrankerFaceZ","Active chatter","Yes","Yes","5-6","1-2","Desktop","OSRS (main game)","Yes","24-29","Right","No","Male","Straight","In a relationship","United States","United States","Yes","High school","Employed","Soccer / Football;La Galaxy let go baby!","Basketball;Baseball;Soccer / Football","FPS;Roguelikes;MOBA;RuneScape;Other MMOs;RPGs","Working out;Gaming;Cooking","howls moving castle ","No","Yes","Prime","No","Infrequently","2101-2200","Main","2","Yes","No","Slayer","Hunter","Skilling;Slayer;Bossing;Raiding;PvP;Pet hunting","1","California","Full time","chef","Dog","not squeex ","alien isolation","","acrowoutside","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","","Yes","No","No","Yes","Yes","Yes","Yes","No","5'8""-5'11 (172cm-180cm)","2"
"2025/04/18 9:39:34 PM EST","2022","Twitch recommendation","Every video","Yes","Every stream","5","Yes","No","Old School Runescape","Pet Hunting","Main channel videos","Royal Titan Tuesday","Christmas Cooking Stream 2023","Simulator (Schedule 1, TCG Card Shop Sim);Roguelike (Balatro, Nubby, Ballionaire);Chat involvement games (Crab Game, Halo game night, Dale & Dawson's)","Fallout ItsWill Vault Mod","Undeniable Proof of Aliens Slideshow","I show up at 5pm PST","BetterTTV;7TV","Occasional chatter","Yes","No","3-4","1-2","Desktop","OSRS (main game);OSRS (leagues)","Yes","24-29","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","","","Roguelikes;RuneScape;RPGs","Listening to music;Gaming","Monty Python Holy Grail","Yes","Yes","Tier 1","No","","2101-2200","Ironman","2","Yes","Yes","Farming","Firemaking","Bossing;Raiding","3","Connecticut","Full time","Hospitality","Cat","Mr. Mammal","Baldur's Gate 3","CokeShakey","itswillchat","5:00:01 (5:15:01 should be late)","lusciousdev","Tic Tac Toe with chat (Polls to pick chats moves)","Yes","No","Yes","Yes","No","Yes","No","No","> 6'3 (> 190cm)","1"
"2025/04/18 9:39:50 PM EST","2024","Twitch recommendation","Never","No","1-2 days per week","5","No","No","Variety","Variety","","Variety Friday","Christmas Late Night Special 2024","Simulator (Schedule 1, TCG Card Shop Sim);Roguelike (Balatro, Nubby, Ballionaire);Hitman","8===D~","Playing every Garfield game","Twitch sidebar","BetterTTV;7TV","Occasional chatter","Yes","No","3-4","6+","Desktop","","No","30-35","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","Hockey","","Indie;Other MMOs;RPGs","Hiking;Listening to music;Watching television;Watching movies;Gaming;Gardening","Midnight in Paris","Yes","Yes","","","","","","","","","","","","","Washington","Full time","Software Development","Dog","","solitaire, entire stream muted, no context","zazabert","your mom","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","","No","No","No","Yes","No","Yes","No","No","6'-6'3"" (183cm-190cm)","2"
"2025/04/18 9:40:18 PM EST","2020","YouTube recommendation","Every video","Yes","Every stream","5","Yes","No","Old School Runescape","Pet Hunting","Stream vods;Main channel videos","Scary Saturday","$52 Streaming Setup","Simulator (Schedule 1, TCG Card Shop Sim);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car);Pokemon (Romhacks, nuzlockes)","Oblivion randomized/motion games","Building the Robot","I show up at 5pm PST","BetterTTV","Occasional chatter","Yes","Yes","5-6","0","Laptop","OSRS (main game);OSRS (leagues)","Yes","30-35","Right","No","Male","Straight","In a relationship","United States","United States","Yes","PhD","Employed","American Football;Basketball;Hockey;Soccer / Football","American Football;Basketball;Soccer / Football","FPS;Fighting Games;Indie;Roguelikes;RuneScape;Other MMOs;RPGs;Sports Video Games;Board Games","Working out;Watching television;Watching movies;Gaming","Usual suspects ","Yes","Yes","Prime","No","Infrequently","2201-2276","Main","2","Yes","No","Slayer","Herblore","Skilling;Slayer;Bossing;Pet hunting;Collection log hunting","1","Florida","Full time","Healthcare","Cat","Chig okonkwo","Dark souls","Itswill7","A Crow Outside","5:00:01 (5:15:01 should be late)","hello_snoopy","Live betting odds","No","No","Yes","Yes","Yes","Yes","Yes","No","5'8""-5'11 (172cm-180cm)","1"
"2025/04/18 9:40:29 PM EST","Before 2019","TikTok","Never","Yes","I only watch the vods","1","Yes","No","Variety","Dead Man Mode","Main channel videos","Skree Sunday","Card Grading Special (If you pick this your entire survey will be discarded)","Horror (Poop Killer, itch.io horror);Streamer torture (Unaccessible, Only Up, A Difficult Games About Climbing);Themed variety days (All pizza games, 0 player games)","bus ride","IRL Puzzle","Twitch sidebar","BetterTTV;7TV","Occasional chatter","No","Yes","<1","0","Mobile/Tablet","RS3","Yes","50+","Left","Unsure","Male","Other","It's Complicated","Heard Island and McDonald Islands","Virgin Islands","No","Master's degree","Unemployed","Basketball;Hockey;Soccer / Football;Cricket;F1 / Motorsports","Basketball;Hockey;Soccer / Football;Cricket;F1 / Motorsports","Sports Video Games;Board Games","Reading;Cooking;Drawing / Art;Playing an instrument","minecraft","No","No","Tier 3","No","Never","< 750","Ultimate Ironman","2","No","Yes","Fletching","Firemaking","PvP;Collection log hunting","5","","","","","rainbolt","counter strike ","i dont fucking know","that bbq guy","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","no","No","No","Yes","Yes","Yes","No","Yes","No","6'-6'3"" (183cm-190cm)","1"
"2025/04/18 9:40:38 PM EST","2019","Recommendation from a friend","Every video","Yes","Every stream","4","Yes","Yes","Old School Runescape","Pet Hunting","Main channel videos","Scary Saturday","Ratchelor Valentines Day Special","Soulslikes (Elden Ring, maybe Dark Souls eventually copeggy);Classics (Fallout, Dead Rising, Elder Scrolls);Minecraft (Speedruns, collaborations)","Minecraft","Mario 64 16 Star","I show up at 5pm PST","BetterTTV;7TV;FrankerFaceZ","Occasional chatter","Yes","Yes","3-4","1-2","Desktop","OSRS (main game)","Yes","24-29","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","American Football;Basketball;Hockey","Basketball;Hockey","RuneScape","Working out;Hiking;Running;Reading;Watching movies","The Departed","Yes","Yes","Prime","No","Never","2277","Ironman","2","Yes","No","Fishing","Construction","Slayer;Bossing;Raiding;Pet hunting;Collection log hunting","1","Minnesota","Full time","Firefighter","Dog;Fish","","Minecraft","PauseChamp","Crowoutside","5:00:01 (5:15:01 should be late)","hello_snoopy","","No","No","No","Yes","No","Yes","Yes","No","5'8""-5'11 (172cm-180cm)","7"
"2025/04/18 9:40:40 PM EST","2022","Twitch recommendation","Rarely / When I miss a stream","Yes","3-5 days per week","4","Yes","No","Old School Runescape","Variety","Main channel videos","Scary Saturday","Christmas Late Night Special 2024","Horror (Poop Killer, itch.io horror);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car);Soulslikes (Elden Ring, maybe Dark Souls eventually copeggy)","","Mario 64 16 Star","Twitch sidebar","","Occasional chatter","No","No","1-2","3-4","Video game console","OSRS (main game);OSRS (leagues)","Yes","30-35","Right","No","Male","Straight","Single","United States","United States","Yes","Associates degree","Employed","","","FPS;RuneScape;RPGs","Working out;Hiking;Reading;Listening to music;Watching television;Gaming","I cant remember what it's called but it's about that guy who invented that one machine but then it turns out it was a bad idea to build that machine","Yes","Yes","Prime","No","","2101-2200","Main","1","Yes","No","Woodcutting","Agility","Slayer;Bossing;Raiding;Pet hunting;Collection log hunting","2","Nebraska","Full time","Air Traffic Controller","Cat","2 years into the future itswill7","","","","5:01:00 (5:16:00 should be late)","hello_snoopy","speed run timer ","No","No","No","Yes","No","Yes","No","No","5'4""-5'7"" (162cm-170cm)","1"
"2025/04/18 9:40:44 PM EST","2024","Collaboration with another creator","Rarely / When I miss a stream","No","3-5 days per week","1","No","No","Variety","Variety","Stream vods","Variety Friday","April Fools [HARDCORE]","Roguelike (Balatro, Nubby, Ballionaire);Soulslikes (Elden Ring, maybe Dark Souls eventually copeggy);Pokemon (Romhacks, nuzlockes)","minecraft w squeex","Undeniable Proof of Aliens Slideshow","Twitch sidebar","BetterTTV;7TV","Occasional chatter","No","No","1-2","1-2","Laptop","OSRS (main game)","Yes","24-29","Right","No","Male","Straight","Single","United States","United States","Yes","Bachelor's degree","Employed","American Football;Basketball;Baseball","Basketball;Baseball","FPS;RuneScape;RPGs;Sports Video Games","Working out;Gaming","bad question","Yes","Yes","","","","1751-2000","Main","3","Yes","Yes","Slayer","Mining","Skilling;Slayer;Bossing","3","Florida","Full time","Finance","Cat","squeex","","caught","itswillchat","5:01:00 (5:16:00 should be late)","None of the above, all mods are bastards","","No","No","No","Yes","Yes","Yes","Yes","No","5'8""-5'11 (172cm-180cm)","1"
"2025/04/18 9:40:51 PM EST","2024","YouTube recommendation","Every video","Yes","3-5 days per week","4","No","No","Variety","Variety","Main channel videos","Scary Saturday","Christmas Late Night Special 2024","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Pokemon (Romhacks, nuzlockes)","Any of the old nuzlockes","Building the Robot","Twitch sidebar","BetterTTV","Lurker","Yes","Yes","10+","3-4","Desktop","OSRS (main game)","Yes","24-29","Right","No","Male","Straight","In a relationship","United States","United States","Yes","High school","Employed","American Football;Baseball;F1 / Motorsports","American Football;Baseball","FPS;MOBA;RuneScape;RPGs;Sports Video Games","Listening to music;Watching television;Gaming;Cooking;Photography","Soccer Dog: The Movie (1999)","No","Yes","","","Never","2277","Main","6+","Yes","Yes","Woodcutting","Runecraft","Skilling;Bossing;Raiding;Pet hunting","1","Pennsylvania[B]","Full time","Information Security/Executive Protection","Cat","Coxie","Counter-strike 2","glorpass","ACrowOutside","5:00:01 (5:15:01 should be late)","lusciousdev","No","No","No","Yes","Yes","Yes","Yes","No","No","> 6'3 (> 190cm)","1"
"2025/04/18 9:40:54 PM EST","2023","Twitch recommendation","Rarely / When I miss a stream","Yes","3-5 days per week","4","Yes","No","Old School Runescape","Pet Hunting","Main channel videos","Skree Sunday","Christmas Cooking Stream 2023","Simulator (Schedule 1, TCG Card Shop Sim);Roguelike (Balatro, Nubby, Ballionaire);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car)","im a balatro believer","Mario 64 16 Star","Twitch notification","BetterTTV;7TV;FrankerFaceZ","Occasional chatter","Yes","Yes","5-6","3-4","Desktop","OSRS (main game)","No","30-35","Right","No","Male","Straight","Single","United States","United States","Yes","Bachelor's degree","Employed","","running","Other MMOs","Working out;Running;Reading;Gaming","top gun maverick ","Yes","No","Prime","No","Never","","","","","","","","","","Arizona","Full time","Retail","","mr beast","balatro","IJBOL","","5:00:01 (5:15:01 should be late)","hello_snoopy","","No","No","Yes","Yes","Yes","Yes","No","No","6'-6'3"" (183cm-190cm)","2"
"2025/04/18 9:40:55 PM EST","2023","YouTube series (i.e. Gielinor Games)","Every video","Yes","3-5 days per week","5","Yes","No","Variety","Variety","Stream vods;Main channel videos","Scary Saturday","Christmas Cooking Stream 2023","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Soulslikes (Elden Ring, maybe Dark Souls eventually copeggy)","Poop Killer","Playing Dark Souls","I show up at 5pm PST","","Occasional chatter","Yes","No","3-4","0","Desktop","OSRS (main game)","Yes","24-29","Right","No","Male","Straight","Single","United States","United States","Yes","Associates degree","Employed","American Football;Basketball;F1 / Motorsports","rock climbing","FPS;Roguelikes;RuneScape;Other MMOs;RPGs","Working out;Reading;Listening to music;Watching television;Watching movies;Gaming;Cooking","Ghostbusters","Yes","Yes","Tier 1","No","","2001-2100","Main","1","Yes","No","Slayer","Mining","Skilling;Bossing;Raiding;Pet hunting","2","California","Full time","Retail","Cat","B0aty","Dark Souls 1-3","itswillSneak","ACrowOutside","5:00:01 (5:15:01 should be late)","hello_snoopy","","No","No","Yes","Yes","No","Yes","Yes","No","5'8""-5'11 (172cm-180cm)","1"
"2025/04/18 9:41:09 PM EST","2020","Twitch recommendation","Often","Yes","1-2 days per week","5","Yes","No","Old School Runescape","Pet Hunting","Stream vods","Scary Saturday","Christmas Cooking Stream 2023","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car)","all of them","Playing Dark Souls","Discord notification","BetterTTV;7TV;FrankerFaceZ","Occasional chatter","Yes","Yes","7-8","5-6","Desktop","OSRS (main game)","Yes","30-35","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","American Football;Hockey;Soccer / Football","","FPS;Indie;Roguelikes;MOBA;RuneScape;Other MMOs;Board Games","Working out;Hiking;Running;Reading;Listening to music;Watching television;Watching movies;Gaming;Cooking;Drawing / Art","Monty Python and the Holy Grail","Yes","Yes","Tier 1","No","Infrequently","2201-2276","Main","1","Yes","No","Agility","Mining","Skilling;Bossing;Pet hunting;Collection log hunting","3","New Jersey","Full time","Software Development","Cat","","","itswillRoll","","5:01:00 (5:16:00 should be late)","hello_snoopy","","No","No","No","Yes","Yes","Yes","Yes","No","6'-6'3"" (183cm-190cm)","2"
"2025/04/18 9:41:12 PM EST","2022","Collaboration with another creator","Never","No","3-5 days per week","5","No","No","Variety","Pet Hunting","Main channel videos","Variety Friday","April Fools [HARDCORE]","Simulator (Schedule 1, TCG Card Shop Sim);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car);Streamer torture (Unaccessible, Only Up, A Difficult Games About Climbing)","","Playing every Garfield game","Twitch sidebar","BetterTTV;7TV;FrankerFaceZ","Lurker","Yes","No","7-8","1-2","Desktop","OSRS (main game);RS3","Yes","24-29","Left","No","Male","Straight","Single","United States","United States","Yes","Associates degree","Employed","American Football;Basketball","","FPS;Fighting Games;Indie;Roguelikes;MOBA;RuneScape;Other MMOs;RPGs;Sports Video Games;Board Games","Reading;Listening to music;Watching television;Watching movies;Gaming;Playing an instrument","Smokey and The Bandit","Yes","No","","","","750-1250","Main","1","No","No","Runecraft","Construction","Skilling;Collection log hunting","3","West Virginia","Full time","IT","","","","tppowerBulk","Hanner","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","","No","No","No","Yes","No","Yes","Yes","No","> 6'3 (> 190cm)","1"
"2025/04/18 9:41:18 PM EST","Before 2019","Recommendation from a friend","Often","Yes","3-5 days per week","4","Yes","No","Variety","Variety","Stream vods;Main channel videos","Scary Saturday","Ratchelor Valentines Day Special","Horror (Poop Killer, itch.io horror);Retro games (PS1 Game Stream, Crazy Taxi, Twisted Metal);Themed variety days (All pizza games, 0 player games)","","Building the Robot","I show up at 5pm PST","FrankerFaceZ","Occasional chatter","Yes","Yes","7-8","5-6","Desktop","OSRS (main game)","Yes","30-35","Right","No","Male","Straight","Single","United States","United States","Yes","Bachelor's degree","Employed","American Football;Basketball;Hockey","Basketball","FPS;Indie;Roguelikes;MOBA;RuneScape;Other MMOs;Board Games","Hiking;Reading;Listening to music;Watching television;Gaming;Photography","Despicable Me","Yes","No","Tier 1","No","Infrequently","2001-2100","Ironman","2","Yes","No","Farming","Agility","Skilling;Slayer;Bossing","5","California","Full time","Software Development","","My mom","","IJBOL","Snoopy","5:00:01 (5:15:01 should be late)","TimeLion","","Yes","No","Yes","No","Yes","Yes","Yes","No","6'-6'3"" (183cm-190cm)","3"
"2025/04/18 9:41:27 PM EST","2025","YouTube series (i.e. Gielinor Games)","Rarely / When I miss a stream","No","3-5 days per week","4","Yes","No","Old School Runescape","Variety","Main channel videos","Variety Friday","Ratchelor Valentines Day Special","Simulator (Schedule 1, TCG Card Shop Sim);Roguelike (Balatro, Nubby, Ballionaire);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car)","Ratchelor","Playing every Garfield game","Twitch notification","FrankerFaceZ","Occasional chatter","Yes","No","3-4","0","TV","OSRS (main game);OSRS (leagues)","Yes","24-29","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","American Football;F1 / Motorsports","","Fighting Games;Indie;Roguelikes;RuneScape;RPGs","Watching television;Watching movies;Gaming","The Big Lebowski","No","Yes","Tier 1","No","","1751-2000","Main","1","Yes","No","Hunter","Slayer","Skilling;Bossing;Collection log hunting","5","California","Part time","Education","Cat","Plup","Ratchet and Clank: Going Commando","","","5:00:01 (5:15:01 should be late)","","","No","No","No","No","No","Yes","No","No","5'4""-5'7"" (162cm-170cm)","1"
"2025/04/18 9:41:39 PM EST","2020","Other creator mentioned him","Every video","Yes","1-2 days per week","5","Yes","No","Old School Runescape","Variety","Stream vods;Main channel videos","Variety Friday","Christmas Late Night Special 2024","Simulator (Schedule 1, TCG Card Shop Sim);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car);Streamer torture (Unaccessible, Only Up, A Difficult Games About Climbing)","Coin Game","Mario 64 16 Star","Twitch notification","","Lurker","Yes","No","7-8","1-2","Desktop","OSRS (main game);OSRS (leagues);OSRS (DMM)","Yes","24-29","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","American Football;Basketball","Golf","FPS;RuneScape;Board Games","Listening to music;Watching television;Gaming","Princess Bride","No","Yes","Prime","No","","2101-2200","Ironman","3","Yes","Yes","Slayer","Agility","Slayer;Bossing;Raiding;Collection log hunting","2","Wisconsin","Full time","Engineering","Dog;Cat","Squeex","Simulator games","Itswill cum7","","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","","No","No","Yes","Yes","Yes","Yes","No","No","5'8""-5'11 (172cm-180cm)","3"
"2025/04/18 9:42:11 PM EST","2023","Twitch recommendation","Never","No","3-5 days per week","3","No","No","Variety","Variety","","Scary Saturday","Christmas Cooking Stream 2023","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car)","my summer car just play my summer car every day until you retire","Undeniable Proof of Aliens Slideshow","I show up at 5pm PST","BetterTTV;7TV;FrankerFaceZ","Occasional chatter","No","No","10+","6+","Desktop","OSRS (main game);OSRS (leagues);OSRS Private Servers","Yes","30-35","Right","No","Male","Straight","In a relationship","United States","United States","Yes","High school","Employed","F1 / Motorsports","F1 / Motorsports","FPS;Indie;Roguelikes;MOBA;RuneScape;Other MMOs;RPGs","Listening to music;Gaming","the irish men","No","Yes","","","","1501-1750","Main","2","Yes","No","Slayer","Farming","Skilling;Slayer;Bossing;Raiding;PvP;Pet hunting;Collection log hunting","1","Pennsylvania[B]","Full time","Retail","Cat","","i always thought it would be cool if will went in blind on a wow classic character, hardcore or not. i know you'll look at this answer and immediately keep scrolling lol","","me","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","idk man use tangia or something","No","Yes","No","Yes","No","Yes","Yes","No","6'-6'3"" (183cm-190cm)","1"
"2025/04/18 9:42:11 PM EST","2024","YouTube series (i.e. Gielinor Games)","Never","Yes","Every stream","5","Yes","Yes","Old School Runescape","Variety","","Variety Friday","Ratchelor Valentines Day Special","Roguelike (Balatro, Nubby, Ballionaire);Minecraft (Speedruns, collaborations);Chat involvement games (Crab Game, Halo game night, Dale & Dawson's)","Minecraft Speedrun with Squeex","Playing every Garfield game","I show up at 5pm PST","","Active chatter","Yes","Yes","3-4","0","Mobile/Tablet","OSRS (leagues)","Yes","24-29","Right","No","Male","Straight","Single","United States","United States","Yes","Associates degree","Employed","","","","","Perfect Blue","No","No","Prime","No","Never","< 750","Ironman","3","Yes","No","Magic","Farming","Skilling;Slayer;Bossing;Raiding","3","Florida","Full time","Retail","","","","","","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","","No","No","Yes","No","No","Yes","No","No","6'-6'3"" (183cm-190cm)","3"
"2025/04/18 9:42:20 PM EST","2020","Other creator mentioned him","Every video","Yes","3-5 days per week","5","Yes","No","Old School Runescape","Pet Hunting","Main channel videos","Royal Titan Tuesday","April Fools [HARDCORE]","Streamer torture (Unaccessible, Only Up, A Difficult Games About Climbing);Soulslikes (Elden Ring, maybe Dark Souls eventually copeggy);Minecraft (Speedruns, collaborations)","Dark & Darker","Playing Dark Souls","Twitch notification","BetterTTV;7TV;FrankerFaceZ","Lurker","Yes","Yes","1-2","3-4","Desktop","OSRS (main game);OSRS (leagues)","Yes","24-29","Ambidexterous","No","Male","Straight","In a relationship","Canada","Canada","Yes","Bachelor's degree","Employed","Basketball","Running","Indie;Roguelikes;RuneScape;Other MMOs;RPGs;Board Games","Working out;Hiking;Running;Reading;Listening to music;Watching movies;Gaming;Writing;Playing an instrument","Arrival","Yes","Yes","Prime","No","Infrequently","2101-2200","Ultimate Ironman","1","Yes","No","Runecraft","Smithing","Skilling;Slayer;Bossing;Raiding;Pet hunting;Collection log hunting","3","","Full time","Science & Research","Cat","Other OSRS streamers/content creators","","itswillSilly","ACrowOutside","5:01:00 (5:16:00 should be late)","VTheVictim","","Yes","No","No","Yes","Yes","Yes","No","No","5'8""-5'11 (172cm-180cm)","1"
"2025/04/18 9:42:31 PM EST","2022","YouTube recommendation","Every video","Yes","3-5 days per week","5","No","No","Old School Runescape","Variety","Stream vods;Main channel videos","Variety Friday","April Fools [HARDCORE]","Horror (Poop Killer, itch.io horror);Roguelike (Balatro, Nubby, Ballionaire);Classics (Fallout, Dead Rising, Elder Scrolls)","","Playing every Garfield game","I show up at 5pm PST","","Occasional chatter","Yes","No","1-2","0","Mobile/Tablet","OSRS (main game)","Yes","24-29","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","American Football;Basketball","Basketball","FPS;Indie;Roguelikes;MOBA;RuneScape","Hiking;Listening to music;Watching television;Gaming","Train spotting","No","Yes","","","","2001-2100","Main","3","Yes","No","Mining","Thieving","Skilling;Slayer;Bossing","4","Oregon","Full time","Software Development","Dog;Cat","","Rimworld","","","5:00:01 (5:15:01 should be late)","","","No","No","No","Yes","Yes","Yes","No","No","6'-6'3"" (183cm-190cm)","1"
"2025/04/18 9:42:38 PM EST","2022","Other creator mentioned him","Every video","Yes","1-2 days per week","5","No","No","Variety","Variety","Main channel videos","Scary Saturday","Christmas Late Night Special 2024","Simulator (Schedule 1, TCG Card Shop Sim);Roguelike (Balatro, Nubby, Ballionaire);Retro games (PS1 Game Stream, Crazy Taxi, Twisted Metal)","","IRL Puzzle","Twitch sidebar","7TV","Occasional chatter","Yes","No","1-2","3-4","Desktop","OSRS (main game)","Yes","30-35","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","American Football;Basketball;Baseball","Soccer / Football","FPS;Roguelikes;RuneScape","Working out;Listening to music;Watching television;Watching movies;Gaming","Severance: The Movie","Yes","Yes","","","","2101-2200","Ironman","2","Yes","No","Slayer","Agility","Slayer;Bossing;Raiding","3","Wisconsin","Full time","Software Development","Cat","","","","","5:01:00 (5:16:00 should be late)","None of the above, all mods are bastards","","No","No","Yes","Yes","No","No","No","No","6'-6'3"" (183cm-190cm)","1"
"2025/04/18 9:43:18 PM EST","2025","Collaboration with another creator","Every video","Yes","3-5 days per week","5","Yes","Yes","Old School Runescape","Pet Hunting","Stream vods;Main channel videos","Skree Sunday","Ratchelor Valentines Day Special","Horror (Poop Killer, itch.io horror);Roguelike (Balatro, Nubby, Ballionaire);Themed variety days (All pizza games, 0 player games)","ratchelor","Playing Dark Souls","I show up at 5pm PST","BetterTTV;7TV;FrankerFaceZ","Active chatter","Yes","Yes","1-2","1-2","Desktop","OSRS (main game)","Yes","24-29","Right","No","Male","Straight","In a relationship","Canada","Canada","Yes","High school","Employed","Soccer / Football;Climbing","Climbing","FPS;Fighting Games;Indie;Roguelikes;MOBA;RuneScape;Other MMOs;RPGs","Working out;Hiking;Reading;Listening to music;Gaming;Cooking","Good will hunting","Yes","Yes","Prime","No","Infrequently","1251-1500","Main","1","No","No","Magic","Runecraft","Skilling;Slayer;Bossing","4","","Full time","Design","Cat","","","","","5:00:01 (5:15:01 should be late)","hello_snoopy","","No","No","No","Yes","Yes","Yes","No","No","5'8""-5'11 (172cm-180cm)","1"
"2025/04/18 9:43:25 PM EST","2020","Twitch recommendation","Often","Yes","3-5 days per week","5","Yes","No","Old School Runescape","Pet Hunting","Stream vods;Main channel videos","Skree Sunday","$52 Streaming Setup","Simulator (Schedule 1, TCG Card Shop Sim);Retro games (PS1 Game Stream, Crazy Taxi, Twisted Metal);Minecraft (Speedruns, collaborations)","Minecraft","IRL Puzzle","I show up at 5pm PST","BetterTTV;7TV;FrankerFaceZ","Lurker","Yes","Yes","3-4","3-4","Desktop","OSRS (main game)","Yes","24-29","Ambidexterous","No","Male","Straight","Single","United States","United States","Yes","High school","Employed","American Football;F1 / Motorsports","American Football;Basketball","FPS;RuneScape;Board Games","Listening to music;Watching movies;Gaming;Cooking;Photography","The Wolf Of Wall Street","Yes","Yes","Prime","No","Infrequently","2277","Main","1","Yes","Yes","Runecraft","Herblore","Skilling;Bossing;Raiding;Pet hunting","4","Wisconsin","Full time","Finance","Cat","Moon Moon","RocketLeague","itswillpls","Divine Zaros","5:01:00 (5:16:00 should be late)","MrNiceRS","I like the simple  stuff from will, more scenes maybe","No","No","No","Yes","No","Yes","Yes","No","6'-6'3"" (183cm-190cm)","1"
